Tuli	tuli	0		S	sg n
läve	@lävi	0		S	sg g
    	lävi	0		S	sg p
pakku	pakk	0		S	adt
     	@pakk	0		S	sg p
annud	####				
	#and	nud		V	nud
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
1	1	0		N	?
1/2	1/2	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikad	pikk	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
ja	ja	0		J	
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
talve	talv	0		S	adt
     	@talv	0		S	sg g
     	tali	0		S	adt
     	tali	0		S	sg g
     	talv	0		S	sg p
     	tali	0		S	sg p
ära	@ära	0		D	
   	ära	0		V	neg o
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
6	6	0		N	?
kuuse	kuune	0		A	sg g
     	@kuusk	0		S	sg g
palki	palk	0		S	adt
     	@palk	0		S	sg p
ise	ise	0		A	
   	ise	0		D	
   	ise	0		P	pl n
   	@ise	0		P	sg n
jala	@jalg	0		S	sg g
    	jala	0		D	
pealt	pea	lt		S	sg abl
     	pealt	0		D	
     	@pealt	0		K	
annud	####				
	#and	nud		V	nud
,	,			Z	
ning	ning	0		J	
muist	@muist	0		P	
     	muu	ist		P	pl el
muido	####				
	#muidu	0		D	
võtnud	@võt	nud		V	nud
      	võt=nu	d		S	pl n
      	võt=nud	0		A	
      	võt=nud	0		A	sg n
      	võt=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
Tõnis	Tõnis	0		H	sg n
Park	park	0		S	sg n
	£Park	0		H	sg n
ja	ja	0		J	
Märt	Märt	0		H	sg n
Sõlg	sõlg	0		S	sg n
	£Sõlg	0		H	sg n
,	,			Z	
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg g
sulased	sulane	d		S	pl n
,	,			Z	
olla	ole	a		V	da
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
vedanud	@veda	nud		V	nud
       	veda=nu	d		S	pl n
       	veda=nud	0		A	
       	veda=nud	0		A	sg n
       	veda=nud	d		A	pl n
,	,			Z	
ja	ja	0		J	
üks	@üks	0		N	sg n
   	üks	0		P	sg n
tüve	@tüvi	0		S	sg g
    	tüvi	0		S	sg p
pedaja	pedajas	0		S	sg g
palk	palk	0		S	sg n
    	@palk	0		S	sg n
ka	ka	0		D	
annud	####				
	#and	nud		V	nud
,	,			Z	
ja	ja	0		J	
need	see	d		P	pl n
palgid	palk	d		S	pl n
9–12	9-12	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jämmed	####				
	#jäme	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
.	.			Z	
Sel	@see	l		P	sg ad
   	sel	0		Y	?
17.	17.	0		O	?
mail	maa	il		S	pl ad
    	@mai	l		S	sg ad
    	mail	0		S	sg n
.	.			Z	
Juures	juur	s		S	sg in
      	@juures	0		D	
      	juures	0		K	
olid	ole	id		V	sid
J.	J.	0		Y	?
Säga	säga	0		S	sg g
    	säga	0		S	sg n
    	säga	0		S	sg p
	£Säga	0		H	sg n
,	,			Z	
H.	H.	0		Y	?
Laosson	####				
	#Laosson	0		H	sg n
,	,			Z	
H.	H.	0		Y	?
Märtson	####				
	#Märtson	0		H	sg n
Tellimise	tellimine	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
olid	ole	id		V	sid
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
tulnud	tul=nud	0		A	
      	tul=nud	0		A	sg n
      	tul=nud	d		A	pl n
      	@tule	nud		V	nud
      	tulnu	d		S	pl n
,	,			Z	
Märt	Märt	0		H	sg n
Sõlg	sõlg	0		S	sg n
	£Sõlg	0		H	sg n
ning	ning	0		J	
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
mitte	mitte	0		D	
üks	üks	0		N	sg n
   	@üks	0		P	sg n
oks	oks	0		S	sg n
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg g
usse	uss	e		S	pl p
	£uks	0		S	sg adt
ei	ei	0		D	
  	@ei	0		V	neg
olevad	olev	d		A	pl n
      	olev	d		S	pl n
	£ole	vad		V	vat
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
Kuldseppalt	####				
	#Kuld_sepa	lt		H	sg abl
aga	aga	0		J	
kuuse	kuune	0		A	sg g
     	@kuusk	0		S	sg g
ja	ja	0		J	
pedaja	pedajas	0		S	sg g
palke	palk	e		S	pl p
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
ja	ja	0		J	
keige	####				
	#kõige	0		D	
vähemalt	@vähem	lt		C	sg abl
        	vähemalt	0		D	
4	4	0		N	?
ehk	ehk	0		D	
   	@ehk	0		J	
5	5	0		N	?
korda	kord	0		S	adt
     	korda	0		V	o
     	@kord	0		S	sg p
,	,			Z	
Tõnissega	####				
	#Tõnis	ga		H	sg kom
olla	ole	a		V	da
tema	tema	0		P	sg g
    	@tema	0		P	sg n
pakke	@pakk	e		S	pl p
     	pake	0		S	sg g
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
ja	ja	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
ise	ise	0		A	
   	ise	0		D	
   	ise	0		P	pl n
   	@ise	0		P	sg n
keige	####				
	#kõige	0		D	
vähemalt	@vähem	lt		C	sg abl
        	vähemalt	0		D	
6	6	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
Kuldsepalt	kuld_sepp	lt		S	sg abl
	£Kuld_sepa	lt		H	sg abl
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
viimse	viimne	0		A	sg g
tee	@tee	0		S	sg g
   	tege	0		V	o
   	tee	0		S	sg n
aial	aed	l		S	sg ad
	£aeg	l		S	sg ad
.	.			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Napritson	####				
	#Napritson	0		H	sg n
tun	####				
	¤
.	.			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
üks	üks	0		N	sg n
   	@üks	0		P	sg n
kord	kord	0		D	
    	@kord	0		S	sg n
Kuldsepal	kuld_sepp	l		S	sg ad
	£Kuld_sepa	l		H	sg ad
käinud	@käi	nud		V	nud
      	käi=nud	0		A	
      	käi=nud	0		A	sg n
      	käi=nud	d		A	pl n
      	käinu	d		S	pl n
ja	ja	0		J	
puu	puu	0		S	sg g
   	@puu	0		S	sg n
lukkisid	####				
	#lukk	sid		S	pl p
,	,			Z	
ja	ja	0		J	
5	5	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
olla	ole	a		V	da
ta	tema	0		P	sg g
  	@tema	0		P	sg n
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
ja	ja	0		J	
6	6	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
Hans	Hans	0		H	sg n
Märtsonil	####				
	#Märtson	l		H	sg ad
viinud	@vii	nud		V	nud
      	vii=nu	d		S	pl n
      	vii=nud	0		A	
      	vii=nud	0		A	sg n
      	vii=nud	d		A	pl n
.	.			Z	
Hans	Hans	0		H	sg n
Märtson	####				
	#Märtson	0		H	sg n
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
kutsutud	@kutsu	tud		V	tud
        	kutsutu	d		S	pl n
        	kutsutud	0		A	
        	kutsutud	0		A	sg n
        	kutsutud	d		A	pl n
ja	ja	0		J	
tunnistas	tunnista	s		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
küll	@küll	0		D	
    	küll	0		S	sg n
6	6	0		N	?
kuuse	kuune	0		A	sg g
     	@kuusk	0		S	sg g
palki	palk	0		S	adt
     	@palk	0		S	sg p
saanud	@saa	nud		V	nud
      	saa=nud	0		A	
      	saa=nud	0		A	sg n
      	saa=nud	d		A	pl n
      	saanu	d		S	pl n
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
Kuldsepalt	kuld_sepp	lt		S	sg abl
	£Kuld_sepa	lt		H	sg abl
toodud	@too	dud		V	tud
      	toodu	d		S	pl n
      	toodud	0		A	
      	toodud	0		A	sg n
      	toodud	d		A	pl n
,	,			Z	
ja	ja	0		J	
Kuigatsi	####				
	#Kuigatsi	0		H	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg n
üle	üle	0		D	
   	@üle	0		K	
tema	@tema	0		P	sg g
    	tema	0		P	sg n
heinamaa	@heina_maa	0		S	sg g
        	heina_maa	0		S	sg n
palke	palk	e		S	pl p
vedanud	@veda	nud		V	nud
       	veda=nu	d		S	pl n
       	veda=nud	0		A	
       	veda=nud	0		A	sg n
       	veda=nud	d		A	pl n
,	,			Z	
muud	muu	d		P	pl n
    	muu	d		S	pl n
    	muu	d		V	d
    	@muu	d		P	sg p
    	muu	d		S	sg p
aga	aga	0		J	
midagi	miski	dagi		P	sg p
ei	ei	0		D	
  	@ei	0		V	neg
teadvad	teadev	d		A	pl n
	£tead	vad		V	vat
tunnistada	tunnista	da		V	da
.	.			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		S	sg n
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
kutsutud	@kutsu	tud		V	tud
        	kutsutu	d		S	pl n
        	kutsutud	0		A	
        	kutsutud	0		A	sg n
        	kutsutud	d		A	pl n
ja	ja	0		J	
andis	and	is		V	s
aga	aga	0		J	
üles	üles	0		D	
et	et	0		J	
need	see	d		P	pl n
palkid	####				
	#palk	d		S	pl n
Kuldseppalt	####				
	#Kuld_sepa	lt		H	sg abl
keik	####				
	#kõik	0		P	pl n
toodud	@too	dud		V	tud
      	toodu	d		S	pl n
      	toodud	0		A	
      	toodud	0		A	sg n
      	toodud	d		A	pl n
olla	ole	a		V	da
.	.			Z	
Hans	Hans	0		H	sg n
Tätta	####				
	#Tätta	0		H	sg n
tun	####				
	¤
.	.			Z	
siin	@siin	0		D	
    	siin	0		S	sg n
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
kella	kell	0		S	adt
     	@kell	0		S	sg g
     	kella	0		V	o
     	kell	0		S	sg p
10	10	0		N	?
aial	aed	l		S	sg ad
	£aeg	l		S	sg ad
palke	palk	e		S	pl p
	£palk	e		S	pl g
juures	juur	s		S	sg in
      	juures	0		D	
      	@juures	0		K	
metsas	mets	s		S	sg in
käinud	@käi	nud		V	nud
      	käi=nud	0		A	
      	käi=nud	0		A	sg n
      	käi=nud	d		A	pl n
      	käinu	d		S	pl n
,	,			Z	
ja	ja	0		J	
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	@pärast	0		D	
      	pärast	0		K	
ära	@ära	0		D	
   	ära	0		V	neg o
olla	ole	a		V	da
kadunud	@kadu	nud		V	nud
       	kadunu	d		S	pl n
       	kadunud	0		A	
       	kadunud	0		A	sg n
       	kadunud	d		A	pl n
ja	ja	0		J	
ära	@ära	0		D	
   	ära	0		V	neg o
koorit	####				
	#koori	t		V	tud
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
ning	ning	0		J	
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
palgi	palk	0		S	sg g
ära	@ära	0		D	
   	ära	0		V	neg o
renbi	####				
	¤
juure	juur	0		S	sg g
	£juurde	0		D	
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
.	.			Z	
Kui	@kui	0		D	
   	kui	0		J	
see	see	0		P	sg n
asi	@asi	0		S	sg n
   	asi	0		V	o
suurema	suurem	0		C	sg g
kohto	####				
	#kohus	0		S	sg g
läbi	läbi	0		D	
    	@läbi	0		K	
    	läbi	0		V	o
kuulamise	kuulamine	0		S	sg g
ning	ning	0		J	
mõistmise	mõistmine	0		S	sg g
alla	alla	0		D	
    	@alla	0		K	
ulatub	ulatu	b		V	b
,	,			Z	
sai	@saa	i		V	s
   	sai	0		S	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
kohto	####				
	#kohus	0		S	sg g
poolt	pool	t		N	sg p
     	pool	t		S	sg p
     	poolt	0		D	
     	@poolt	0		K	
mõistetud	@mõist	tud		V	tud
         	mõiste=tu	d		S	pl n
         	mõiste=tud	0		A	
         	mõiste=tud	0		A	sg n
         	mõiste=tud	d		A	pl n
:	:			Z	
""""	""""			Z	
et	et	0		J	
eel	@eel	0		D	
   	eel	0		K	
   	esi	l		S	sg ad
seisvad	seisev	d		A	pl n
	£seisev	d		A	sg p
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
nenda	####				
	#nõnda	0		D	
kui	kui	0		D	
   	@kui	0		J	
sündinud	@sündi	nud		V	nud
        	sündinu	d		S	pl n
        	sündinud	0		A	
        	sündinud	0		A	sg n
        	sündinud	d		A	pl n
,	,			Z	
kirja	kirja	0		A	
     	kirja	0		V	o
     	@kiri	0		S	adt
     	kiri	0		S	sg g
     	kiri	0		S	sg p
panna	pand	0		S	sg g
     	@pane	a		V	da
     	panna	0		S	sg g
     	panna	0		S	sg n
,	,			Z	
ning	ning	0		J	
seda	see	da		P	sg p
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
siis	@siis	0		D	
    	siis	0		J	
keiserliko	####				
	#keiserlik	0		A	sg g
6.	6.	0		O	?
P.	P.	0		Y	?
kihelkonna	kihelkond	0		S	sg g
kohto	####				
	#kohus	0		S	sg g
seletuse	seletus	0		S	sg g
alla	alla	0		D	
    	@alla	0		K	
anda	and	a		V	da
.	.			Z	
13.12.1874	13.12.1874	0		N	?
Juures	juur	s		S	sg in
      	@juures	0		D	
      	juures	0		K	
olid	ole	id		V	sid
:	:			Z	
peakohtomees	####				
	#pea_kohtu_mees	0		S	sg n
H.	H.	0		Y	?
Lukk	lukk	0		S	sg n
	£Lukk	0		H	sg n
Kohtomees	####				
	#kohtu_mees	0		S	sg n
H.	H.	0		Y	?
Laosson	####				
	#Laosson	0		H	sg n
Abi	abi	0		S	sg g
   	@abi	0		S	sg n
   	abi	0		S	sg p
J.	J.	0		Y	?
Tassak	####				
	#Tassak	0		H	sg n
Keiserliko	####				
	#keiserlik	0		A	sg g
6.	6.	0		O	?
Pärnu	Pärnu	0		H	adt
     	@Pärnu	0		H	sg g
     	Pärnu	0		H	sg n
     	pärnu	0		G	
kihelkonna	kihelkond	0		S	sg g
kohto	####				
	#kohus	0		S	sg g
käso	####				
	#käsk	0		S	sg g
kirja	kirja	0		A	
     	kirja	0		V	o
     	kiri	0		S	adt
     	@kiri	0		S	sg g
     	kiri	0		S	sg p
täitmiseks	täitmine	ks		S	sg tr
sest	@see	st		P	sg el
    	sest	0		J	
26.	26.	0		O	?
aug	aug	0		Y	?
.	.			Z	
s.a	s.a	0		Y	?
nr	nr	0		Y	?
2302	2302	0		N	?
lõppe	lõpp	e		A	pl p
     	lõpp	e		S	pl p
     	lõppe	0		V	o
     	lõpe	0		S	sg g
	£lõpp	0		S	sg n
otsuse	otsus	0		S	sg g
tegemise	tegemine	0		S	sg g
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	pärast	0		D	
      	@pärast	0		K	
said	saa	id		V	sid
siia	@siia	0		D	
    	siig	0		S	sg g
kohto	####				
	#kohus	0		S	sg g
ette	ette	0		D	
    	@ette	0		K	
    	esi	tte		S	adt
tellitud	@telli	tud		V	tud
        	telli=tu	d		S	pl n
        	telli=tud	0		A	
        	telli=tud	0		A	sg n
        	telli=tud	d		A	pl n
Uue	uus	0		A	sg g
	£Uue	0		H	sg g
Suislepa	####				
	#Suislepa	0		H	sg g
mõisavalitsus	mõisa_valitsus	0		S	sg n
,	,			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
,	,			Z	
Tõnis	Tõnis	0		H	sg n
Park	park	0		S	sg n
	£Park	0		H	sg n
,	,			Z	
endine	endine	0		A	sg n
pea	pea	0		D	
   	pea	0		S	sg g
   	pida	0		V	o
   	@pea	0		S	sg n
kohtomees	####				
	#kohtu_mees	0		S	sg n
J.	J.	0		Y	?
Säga	säga	0		S	sg g
    	säga	0		S	sg n
    	säga	0		S	sg p
	£Säga	0		H	sg n
,	,			Z	
ja	ja	0		J	
vallavanem	valla_vanem	0		S	sg n
J.	J.	0		Y	?
Ruusmann	####				
	#Ruusmann	0		H	sg n
,	,			Z	
ning	ning	0		J	
pandis	pant	s		S	sg in
	£pane	is		V	s
mõisavalitsus	mõisa_valitsus	0		S	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
metsa	mets	0		S	adt
     	@mets	0		S	sg g
     	mets	0		S	sg p
varguse	vargus	0		S	sg g
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	pärast	0		D	
      	@pärast	0		K	
siin	@siin	0		D	
    	siin	0		S	sg n
veel	@veel	0		D	
    	vesi	l		S	sg ad
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
,	,			Z	
et	et	0		J	
need	see	d		P	pl n
palgid	palk	d		S	pl n
,	,			Z	
mis	@mis	0		P	pl n
   	mis	0		P	sg n
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg g
juures	juur	s		S	sg in
      	juures	0		D	
      	@juures	0		K	
sel	@see	l		P	sg ad
   	sel	0		Y	?
kõrral	####				
	#kord	l		S	sg ad
leitud	@leid	tud		V	tud
      	leitu	d		S	pl n
      	leitud	0		A	
      	leitud	0		A	sg n
      	leitud	d		A	pl n
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
esimest	@esimene	t		O	sg p
       	esimene	t		P	sg p
korda	kord	0		S	adt
     	korda	0		V	o
     	@kord	0		S	sg p
taga	@taga	0		D	
    	taga	0		K	
    	taga	0		V	o
otsitud	@otsi	tud		V	tud
       	otsi=tu	d		S	pl n
       	otsitud	0		A	
       	otsitud	0		A	sg n
       	otsitud	d		A	pl n
,	,			Z	
mitte	mitte	0		D	
peran	####				
	#pära	n		S	sg in
veetud	vee=tu	d		S	pl n
      	vee=tud	0		A	
      	vee=tud	0		A	sg n
      	vee=tud	d		A	pl n
      	veetu	d		A	pl n
      	@veda	tud		V	tud
ja	ja	0		J	
nende	@see	de		P	pl g
     	tema	de		P	pl g
otsad	@ots	d		S	pl n
     	otsa	d		V	d
mitte	mitte	0		D	
ära	@ära	0		D	
   	ära	0		V	neg o
jooksnud	@jooks	nud		V	nud
        	jooks=nu	d		S	pl n
        	jooks=nud	0		A	
        	jooks=nud	0		A	sg n
        	jooks=nud	d		A	pl n
ei	ei	0		D	
  	@ei	0		V	neg
olevad	olev	d		A	pl n
      	olev	d		S	pl n
	£ole	vad		V	vat
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	pärast	0		D	
      	@pärast	0		K	
seda	see	da		P	sg p
kui	kui	0		D	
   	@kui	0		J	
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
palke	palk	e		S	pl p
teine	@teine	0		O	sg n
     	teine	0		P	sg n
kord	kord	0		D	
    	@kord	0		S	sg n
üle	@üle	0		D	
   	üle	0		K	
vaadetud	####				
	#vaata	tud		V	tud
,	,			Z	
olla	ole	a		V	da
nende	@see	de		P	pl g
     	tema	de		P	pl g
otsad	@ots	d		S	pl n
     	otsa	d		V	d
keik	####				
	#kõik	0		P	pl n
ära	@ära	0		D	
   	ära	0		V	neg o
jooksnud	@jooks	nud		V	nud
        	jooks=nu	d		S	pl n
        	jooks=nud	0		A	
        	jooks=nud	0		A	sg n
        	jooks=nud	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
et	et	0		J	
küll	@küll	0		D	
    	küll	0		S	sg n
need	see	d		P	pl n
samad	sama	d		P	pl n
palgid	palk	d		S	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
mis	@mis	0		P	pl n
   	mis	0		P	sg n
ennegi	ennegi	0		D	
.	.			Z	
Eelmine	eelmine	0		A	sg n
peakohtomees	####				
	#pea_kohtu_mees	0		S	sg n
Jaak	@Jaak	0		H	sg n
    	jaak	0		S	sg n
Säga	säga	0		S	sg g
    	säga	0		S	sg n
    	säga	0		S	sg p
	£Säga	0		H	sg n
,	,			Z	
kes	kes	0		P	pl n
   	@kes	0		P	sg n
esimese	@esimene	0		O	sg g
       	esimene	0		P	sg g
kõrra	kõrra	0		D	
     	kõrra	0		I	
	£kord	0		S	sg g
aial	aed	l		S	sg ad
	£aeg	l		S	sg ad
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
palke	palk	e		S	pl p
näinud	näi	nud		V	nud
      	@näge	nud		V	nud
      	näi=nud	0		A	
      	näi=nud	0		A	sg n
      	näi=nud	d		A	pl n
      	näinu	d		S	pl n
,	,			Z	
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
ka	ka	0		D	
üles	üles	0		D	
,	,			Z	
et	et	0		J	
nende	@see	de		P	pl g
     	tema	de		P	pl g
palke	palk	e		S	pl p
	£palk	e		S	pl p
otsad	@ots	d		S	pl n
     	otsa	d		V	d
siis	@siis	0		D	
    	siis	0		J	
mitte	mitte	0		D	
ära	@ära	0		D	
   	ära	0		V	neg o
jooksnud	@jooks	nud		V	nud
        	jooks=nu	d		S	pl n
        	jooks=nud	0		A	
        	jooks=nud	0		A	sg n
        	jooks=nud	d		A	pl n
ei	ei	0		D	
  	@ei	0		V	neg
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
kui	kui	0		D	
   	@kui	0		J	
teist	sina	st		P	pl el
     	tee	ist		S	pl el
     	teist	0		D	
     	@teine	t		O	sg p
     	teine	t		P	sg p
korda	kord	0		S	adt
     	korda	0		V	o
     	@kord	0		S	sg p
vaatamas	vaata	mas		V	mas
käinud	@käi	nud		V	nud
      	käi=nud	0		A	
      	käi=nud	0		A	sg n
      	käi=nud	d		A	pl n
      	käinu	d		S	pl n
,	,			Z	
siis	@siis	0		D	
    	siis	0		J	
keik	####				
	#kõik	0		P	pl n
ära	@ära	0		D	
   	ära	0		V	neg o
jooksnud	@jooks	nud		V	nud
        	jooks=nu	d		S	pl n
        	jooks=nud	0		A	
        	jooks=nud	0		A	sg n
        	jooks=nud	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
.	.			Z	
Vallavanem	valla_vanem	0		S	sg n
J.	J.	0		Y	?
Ruusmann	####				
	#Ruusmann	0		H	sg n
nimetas	nimeta	s		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
,	,			Z	
et	et	0		J	
sel	@see	l		P	sg ad
   	sel	0		Y	?
kõrral	####				
	#kord	l		S	sg ad
kui	kui	0		D	
   	@kui	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
palke	palk	e		S	pl p
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg g
usses	####				
	#uks	s		S	sg in
näinud	@näi	nud		V	nud
      	näge	nud		V	nud
      	näi=nud	0		A	
      	näi=nud	0		A	sg n
      	näi=nud	d		A	pl n
      	näinu	d		S	pl n
,	,			Z	
nende	@see	de		P	pl g
     	tema	de		P	pl g
otsad	@ots	d		S	pl n
     	otsa	d		V	d
keik	####				
	#kõik	0		P	pl n
ära	@ära	0		D	
   	ära	0		V	neg o
jooksnud	@jooks	nud		V	nud
        	jooks=nu	d		S	pl n
        	jooks=nud	0		A	
        	jooks=nud	0		A	sg n
        	jooks=nud	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
seda	see	da		P	sg p
välja	@välja	0		D	
     	välja	0		V	o
     	väli	0		S	adt
     	väli	0		S	sg g
     	väli	0		S	sg p
näidanud	@näita	nud		V	nud
        	näida=nu	d		S	pl n
        	näida=nud	0		A	
        	näida=nud	0		A	sg n
        	näida=nud	d		A	pl n
,	,			Z	
et	et	0		J	
nad	tema	d		P	pl n
reega	regi	ga		S	sg kom
veetud	vee=tu	d		S	pl n
      	vee=tud	0		A	
      	vee=tud	0		A	sg n
      	vee=tud	d		A	pl n
      	veetu	d		A	pl n
      	@veda	tud		V	tud
.	.			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
seda	see	da		P	sg p
veel	@veel	0		D	
    	vesi	l		S	sg ad
mitme	mitu	0		P	sg g
inimese	inimene	0		S	sg g
läbi	läbi	0		D	
    	@läbi	0		K	
    	läbi	0		V	o
tõeks	tõde	ks		S	sg tr
     	@tõsi	ks		S	sg tr
teha	tege	a		V	da
saavad	saa	vad		V	vad
      	saav	d		A	pl n
      	saav	d		S	pl n
	£saa	vad		V	vat
kust	kusi	t		S	sg p
    	@kust	0		D	
ta	tema	0		P	sg g
  	@tema	0		P	sg n
need	see	d		P	pl n
palgid	palk	d		S	pl n
toonud	@too	nud		V	nud
      	too=nu	d		S	pl n
      	too=nud	0		A	
      	too=nud	0		A	sg n
      	too=nud	d		A	pl n
,	,			Z	
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
aga	aga	0		J	
mitte	mitte	0		D	
